century-city,767122,1757396,1369017,6165890,1074684
porter-ranch,817744,743570,1081304,717388,798432
panorama-city,457983,500016,474775,470739,398778
sun-valley,784811,516841,402310,558419,518317
veterans-administration,2180341,513506
arlington-heights,844332,728750,871477,974202,1235962
sylmar,443045,579733,513289,462340,564803
venice,1611930,3079570,None,1646173,1733394
playa-vista,937862,1422288,1004357,None,735096
del-rey,903411,768952,861645,970965,939870
pasadena,546240,1528874,1159670,977658,2328041
encino,1699971,833217,2028624,490033,1774528
elysian-valley,729006,727326,757692,550482,680444
torrance,1791664,791195,755833,627921,697698
la-crescenta-montrose,690806,1646315,664732,665546,1542927
valley-village,1354589,536792,861744,936078,812055
toluca-lake,1467443,1262604,1223224,2266251,1747966
harvard-park,326890,312278,390651,436385,314894
manhattan-beach,2452214,2013041,1990632,1377141,1505268
mid-wilshire,827178,837255,1441032,1036618,782626
bel-air,9253280,1379663,8187696,10310519,2901803
leimert-park,765829,729498,515855,561236,696193
studio-city,1691266,2889225,2490848,1920893,408181
hermosa-beach,1169062,None,1023683,2613237,1700007
del-aire,759605,548561,709746,742868,728627
east-los-angeles,431130,478258,403987,599312,620563
calabasas,2343578,3522395,2459420,1000031,1435177
carthay,1721865,2046806,1487228,None,1256665
west-hills,829363,619975,576515,559848,707784
fairfax,2115488,2002666,None,1576904,1187798
rolling-hills-estates,2019223,1475912,2202495,1552877,1482782
elysian-park,544342,603776,603776,543719,544342
mission-hills,467529,429799,435554,379691,416636
playa-del-rey,3475246,1425275,1799397,2611421,500065
pacoima,413486,441631,382694,425520,362204
marina-del-rey,1412082,821782,1807259,735240,928933
vermont-vista,384411,367428,361316,336141,368051
rolling-hills,3524873,3606428,1734549,3796009,3197046
harvard-heights,1537572,593928,601930,619859,580576
lennox,431594,490877,470211,1210128,953269
inglewood,593916,502066,552639,430271,578135
montecito-heights,431118,684461,1092023,403882,1092023
sherman-oaks,1484061,1105470,1518135,919997,432307
east-hollywood,1132993,803261,828849,739281,774520
pico-union,569295,594668,567741,343214,875485
hollywood-hills-west,1996875,5525629,2128150,2934612,2242440
highland-park,454680,593793,1324817,723657,596526
mount-washington,509557,934031,802444,769324,893189
redondo-beach,1012266,1005064,839806,662800,807035
topanga,2023745,1816031,2148925,2256653,1337197
baldwin-hillscrenshaw,845611,623424,878130,733724,747818
brentwood,2448125,2394267,4347098,13682455,2301604
echo-park,1030919,1048290,2019487,1077191,735667
glendale,955205,1161952,1072422,1491422,640762
vermont-square,351827,368395,500540,472400,478806
universal-city,1378314,1378314,1075855,1666902,1507143
west-adams,558408,724823,445018,638570,862028
chatsworth,1121468,583438,970631,923053,672532
watts,265496,283963,331652,309761,470544
rancho-palos-verdes,2422607,1036820,919776,1285996,1012780
el-segundo,1263909,1751902,1537334,996130,1989813
el-sereno,548556,519002,514514,341611,606663
view-park-windsor-hills,685296,1119240,1292279,1119240,817342
burbank,671672,738601,892420,1053936,823735
lomita,532758,710574,721693,613409,785014
vermont-knolls,367552,400262,313357,332501,399645
hansen-dam,445346,1343983,541042,1391655,603544
unincorporated-santa-monica-mountains,2003997,2186001,2087116,1992682,5093128
university-park,717659,385509,553498,717659,555603
van-nuys,460833,410374,470494,713006,439059
eagle-rock,535053,825648,983131,784133,1718153
sawtelle,1057671,952237,1049548,1186379,1154345
westlake,783724,995713,898247,798954,473993
rancho-park,1408300,1200882,1013412,1205664,1136999
pacific-palisades,2786382,1347319,4325298,7831541,1763495
florence,683413,547642,634790,348764,335711
canoga-park,746580,604105,842669,823747,232436
palos-verdes-estates,2245867,2905530,1451967,7238787,1434410
jefferson-park,660166,474784,462840,564185,666626
sunland,403705,890170,448266,517133,559458
vermont-slauson,418293,423620,476454,558723,389427
athens,364436,459300,454969,539987,443590
culver-city,866382,1209586,1161539,1102617,1471546
westlake-village,1798958,2124775,2379988,2491868,1607373
glassell-park,734132,796798,730143,778906,819193
granada-hills,758193,740250,1922603,560284,546513
hollywood,965990,754519,1243399,730896,660160
pico-robertson,1570330,1258199,938733,999615,2163441
cypress-park,398736,763205,512401,644639,492362
agoura-hills,613023,251167,1270998,388351,755518
malibu,9174562,9365974,2699552,1781480,6610377
northridge,589163,543784,1008149,567761,712409
valley-glen,672816,587153,1060530,608129,1062032
woodland-hills,503926,846684,1164660,1346874,912197
west-hollywood,1294200,658932,1016629,997075,2233182
downtown,954327,449210
willowbrook,318550,401385,358010,328915,381127
north-hollywood,436489,546208,554479,601592,576944
beverlywood,1453621,1579249,2914451,944486,1876608
gramercy-park,420526,425827,424916,407045,341857
san-fernando,388299,440490,444875,436863,448593
chatsworth-reservoir,730421,2005526,579880,2005526,2440535
chinatown,432707,616206,474625,699661,440888
historic-south-central,684829,360898,631112,381037,525780
westchester,1289402,2683793,1326072,947403,1117168
north-hills,486151,476572,587685,496401,546798
adams-normandie,1320455,917828,599794,571516,592595
ladera-heights,1134618,1234650,1001257,933163,1125529
mar-vista,1345238,1681162,1258128,1038119,969242
